                                  mean         std        2.5q        25q        50q        75q      97.5q       mc err
z_subj.19                     0.451507   0.0285743    0.396487   0.432287   0.451202   0.470662   0.507784  0.000261592
z_subj.20                     0.463582   0.0282184    0.408234   0.444647    0.46374   0.482418   0.518515  0.000310806
z_subj.21                     0.508895   0.0281197    0.452986   0.489929   0.508936   0.527987   0.563031  0.000269621
z_subj.22                      0.50467   0.0274778    0.451605   0.485908   0.504767   0.522978   0.559529   0.00025847
z_subj.23                      0.49455   0.0294158     0.43722    0.47498   0.494435    0.51417   0.552185  0.000284132
z_subj.24                     0.505131   0.0285356    0.449727   0.485686   0.505016   0.524366   0.561652  0.000343501
z_subj.25                     0.467765   0.0273028    0.414539   0.449069   0.467686   0.486361   0.521149  0.000258588
z_subj.26                     0.535164   0.0293596    0.477548   0.515331   0.535085    0.55511   0.592678   0.00029793
z_subj.27                     0.450558   0.0289864    0.393512   0.431046   0.450748   0.470529   0.506681  0.000266345
z_subj.28                     0.527222   0.0282555    0.471784   0.508321   0.527342   0.546053   0.582278  0.000283346
z_subj.29                      0.52558   0.0280206    0.471288   0.506589   0.525554   0.544364   0.580427  0.000290473
z_subj.30                     0.460051   0.0280279    0.405702   0.440917   0.459862   0.479154   0.515212  0.000281243
z_subj.31                     0.482339   0.0281075    0.427653   0.462965   0.482184   0.501155   0.537894  0.000280877
z_subj.32                     0.509597    0.027377    0.456134   0.491336   0.509387   0.528122   0.563461  0.000241839
z_subj.33                     0.429803   0.0304343    0.370119   0.409388   0.429876   0.450465   0.488999  0.000400162
z_subj.34                     0.529709   0.0275991    0.475577   0.511353   0.529709   0.548232   0.584593  0.000284247
z_subj.36                     0.542513   0.0295613    0.484064   0.522677   0.542331    0.56269   0.600271  0.000309123
z_subj.37                     0.561851   0.0287144    0.505924   0.542395   0.561632   0.581381    0.61834  0.000307717
z_subj.38                     0.517891   0.0291401    0.460391   0.498327   0.518053   0.537522   0.574762  0.000304948
z_subj.39                     0.477505   0.0280464    0.422364   0.458383    0.47771   0.496563   0.531635  0.000269867
z_subj.40                      0.51829   0.0280542    0.462822   0.499257   0.518278   0.537322   0.573428  0.000297448
z_subj.41                      0.48347   0.0288974    0.426845   0.464192   0.483676    0.50301    0.54026  0.000303684
z_subj.42                     0.480468   0.0282574    0.426122   0.461319   0.480151   0.499838   0.535972  0.000280935
z_subj.43                     0.468634   0.0263764    0.416543   0.451014   0.468751   0.486529   0.520291  0.000259117
z_subj.44                     0.498852   0.0271626    0.445314   0.480597   0.498901   0.517091   0.552773   0.00022002
z_subj.45                     0.468122   0.0297378    0.410162   0.447848   0.468295   0.488291   0.527253  0.000319388
z_subj.46                     0.523405   0.0280101    0.467871   0.504955   0.523571    0.54222   0.577719  0.000262495
z_subj.47                     0.472875   0.0278691     0.41787   0.454177   0.473203   0.491528   0.527108  0.000287314
z_subj.48                     0.501402     0.02727     0.44902   0.482861   0.501266   0.519484    0.55525   0.00027822
z_subj.49                      0.51375   0.0287406    0.457885   0.494431    0.51368    0.53315   0.569833  0.000301034
z_subj.50                     0.520406   0.0286146    0.463879   0.501303   0.520449   0.539855   0.576248  0.000292651
z_subj.51                     0.538248   0.0301799    0.478762   0.517942   0.538769   0.558256   0.597945  0.000370199
z_subj.53                     0.559932   0.0296991    0.501437   0.539881   0.560008   0.580162   0.618424  0.000326853
z_subj.54                     0.517142   0.0279572    0.462863   0.498497   0.517048   0.535933   0.571409  0.000276612
z_subj.55                     0.516446   0.0275228    0.462698   0.498204   0.516191   0.535203   0.569992  0.000253379
z_subj.56                     0.472437   0.0291343    0.415606   0.452711   0.472605    0.49189   0.530167  0.000320428
z_subj.57                     0.553152   0.0288983     0.49662    0.53354   0.553343   0.572845   0.609365  0.000325482
z_subj.58                     0.488598   0.0283188    0.432863   0.469384   0.488451   0.507712   0.544105  0.000287751
z_subj.59                     0.503031   0.0284741    0.447302   0.484051   0.503197   0.521986   0.558982  0.000259004
z_subj.60                     0.544255   0.0273881    0.490549   0.525866   0.544319   0.562419   0.597773  0.000272693
z_subj.61                     0.543087   0.0286329    0.487268   0.523669   0.543015   0.562675   0.599277  0.000296365
z_subj.62                     0.479714   0.0283765    0.423164   0.460458   0.479923   0.498777   0.535206  0.000315931
z_subj.63                     0.531744   0.0285669    0.475206   0.512699   0.531803   0.550896   0.587234  0.000267559
z_subj.64                     0.504615   0.0279974    0.450262   0.485783   0.504413   0.523306   0.560782  0.000311492
z_subj.65                     0.610154   0.0323704    0.547257   0.588142   0.609993   0.631981   0.672947  0.000531084
z_subj.66                     0.451797   0.0279667    0.397028     0.4327   0.451848   0.470965   0.506269  0.000279119
z_subj.67                     0.515028   0.0272045    0.462246   0.496642   0.514877   0.533613   0.568746  0.000255791
z_subj.68                     0.478922   0.0283017    0.422878   0.460001   0.479257   0.498003   0.534165  0.000277853
z_subj.69                     0.537691   0.0291236    0.479808   0.518251   0.537421   0.557091   0.595661  0.000361685
z_subj.70                     0.487494   0.0279438    0.433858   0.468569   0.487078   0.506021   0.543371  0.000299499
z_subj.71                     0.486947   0.0271863    0.434351     0.4684    0.48679   0.505206   0.539945  0.000231298
z_subj.72                     0.428032   0.0295929    0.370606    0.40807    0.42783     0.4477   0.487685  0.000362184
z_subj.73                     0.457804   0.0284837    0.402358   0.438376     0.4575   0.477143   0.514112  0.000323564
z_subj.74                     0.460099   0.0294301    0.401944   0.440543   0.459898    0.48005   0.517724  0.000339015
z_subj.75                      0.46935    0.029304     0.41243   0.449445   0.469226   0.488883   0.527653  0.000342533
z_subj.76                     0.512894   0.0278545    0.458379   0.494171   0.512831    0.53176    0.56773   0.00029229
z_subj.78                     0.481991   0.0274213    0.428495    0.46355   0.481942    0.50025   0.536202  0.000241804
z_subj.79                     0.509752   0.0284692    0.453647   0.490566   0.509685   0.528938   0.565801  0.000248711
z_subj.80                     0.516358   0.0292168    0.458777   0.496676   0.516424   0.536476   0.572921  0.000323188
z_subj.81                     0.464519   0.0291399    0.406883   0.444958   0.464854   0.483918   0.521958  0.000344513
z_subj.82                     0.521562   0.0290334    0.464326   0.502426   0.521794   0.540876   0.578506  0.000328351
z_subj.83                     0.467682   0.0280246    0.413195   0.448968   0.467061   0.486486   0.523303  0.000302835
z_subj.84                     0.483472   0.0287223    0.427171   0.464036   0.483343   0.502704   0.540379  0.000293973
z_subj.85                     0.502565   0.0295663    0.444271   0.482462   0.502431   0.522661   0.560064  0.000275896
z_subj.86                     0.512163   0.0277579    0.457145   0.493353    0.51208   0.531047   0.566888  0.000266161
z_subj.88                     0.484081   0.0298773    0.425243   0.464036   0.484401   0.504298   0.542121  0.000268832
z_subj.89                     0.475727   0.0278794    0.422135   0.456737   0.475648   0.494207   0.530839  0.000287324
z_subj.90                     0.502202   0.0280447    0.447237   0.483433   0.502267   0.520983   0.557104  0.000223107
z_subj.91                     0.512778   0.0303221    0.452422   0.492584   0.512994   0.533128   0.571102  0.000290492
z_subj.92                     0.476599   0.0278656    0.422181   0.457697   0.476594    0.49539   0.530995  0.000253984
z_subj.93                     0.449135   0.0287981    0.392699   0.429701   0.449162   0.468595   0.505445  0.000352555
z_subj.94                     0.488623   0.0287564    0.431906   0.469184   0.488405    0.50791   0.544919  0.000302172
