                                 mean        std        2.5q        25q        50q        75q       97.5q       mc err
v_C(whichWorld)[1]_subj.31   0.147935   0.064251   0.0213115   0.104986    0.14851   0.192083    0.270619   0.00071858
v_C(whichWorld)[1]_subj.32   0.210966  0.0927163   0.0249825    0.15093   0.213029   0.272811    0.389054  0.000859617
v_C(whichWorld)[1]_subj.33   0.438979   0.105942     0.24602   0.363865   0.434085   0.508078    0.659648   0.00148397
v_C(whichWorld)[1]_subj.34   0.327081   0.110402    0.116485   0.252925   0.325168   0.397527    0.553522   0.00107805
v_C(whichWorld)[1]_subj.35   0.302166  0.0920887    0.121432   0.240637   0.300553   0.363777    0.486958  0.000898651
v_C(whichWorld)[1]_subj.36    0.32769  0.0721375    0.188946   0.278426   0.327213   0.375924     0.47056  0.000739547
v_C(whichWorld)[1]_subj.37   0.190375  0.0867419   0.0165295    0.13293   0.192626   0.250191    0.355647  0.000991581
v_C(whichWorld)[1]_subj.38   0.253123  0.0914852   0.0719155   0.191811   0.253461   0.315357    0.431958  0.000872186
v_C(whichWorld)[1]_subj.39   0.221532  0.0981663   0.0259108   0.158093   0.222802   0.286724    0.411089   0.00112517
v_C(whichWorld)[1]_subj.40   0.400007   0.120948    0.176353   0.317441   0.394696   0.476326    0.656798    0.0015383
v_C(whichWorld)[1]_subj.41   0.274645  0.0733506    0.131377   0.225634    0.27466   0.323152    0.419436  0.000693409
v_C(whichWorld)[1]_subj.42   0.397013   0.122547    0.171337   0.313676   0.390058    0.47423    0.658661   0.00162115
v_C(whichWorld)[1]_subj.43   0.190228  0.0813917   0.0256984   0.136856   0.191492   0.245686    0.344715  0.000839614
v_C(whichWorld)[1]_subj.44   0.174197   0.125278   -0.090634  0.0966533   0.180089   0.260406    0.401644   0.00160477
v_C(whichWorld)[1]_subj.45   0.254508  0.0883304   0.0770753   0.196689   0.255472   0.313253    0.425702  0.000837895
v_C(whichWorld)[1]_subj.46   0.299827  0.0940959    0.114283   0.237987   0.299081   0.362672    0.487521  0.000903855
v_C(whichWorld)[1]_subj.47   0.382879  0.0821485    0.226198   0.326011   0.381175   0.437584    0.548429   0.00106484
v_C(whichWorld)[1]_subj.48   0.229264   0.073428   0.0813815   0.180634   0.231462   0.279085     0.36921  0.000719344
